iter	Passed	Remaining
605	4189	2724
606	4192	2714
607	4195	2704
608	4198	2695
609	4200	2685
610	4203	2675
611	4206	2666
612	4209	2657
613	4213	2648
614	4216	2639
615	4219	2630
616	4223	2621
617	4225	2611
618	4228	2602
619	4231	2593
620	4234	2584
621	4237	2574
622	4240	2565
623	4242	2556
624	4247	2548
625	4255	2542
626	4260	2534
627	4264	2526
628	4268	2517
629	4273	2509
630	4276	2500
631	4279	2492
632	4283	2483
633	4286	2474
634	4288	2465
635	4291	2455
636	4294	2447
637	4297	2438
638	4300	2429
639	4303	2420
640	4306	2412
641	4310	2403
642	4313	2394
643	4317	2386
644	4320	2377
645	4323	2369
646	4326	2360
647	4328	2351
648	4331	2342
649	4334	2334
650	4338	2325
651	4340	2316
652	4343	2308
653	4347	2299
654	4350	2291
655	4353	2282
656	4356	2274
657	4358	2265
658	4361	2256
659	4364	2248
660	4367	2239
661	4371	2231
662	4374	2223
663	4377	2215
664	4380	2206
665	4382	2197
666	4386	2189
667	4389	2181
668	4392	2173
669	4395	2164
670	4397	2156
671	4401	2148
672	4404	2140
673	4407	2131
674	4410	2123
675	4413	2115
676	4416	2107
677	4419	2098
678	4422	2090
679	4425	2082
680	4428	2074
681	4431	2066
682	4434	2058
683	4436	2049
684	4439	2041
685	4442	2033
686	4445	2025
687	4448	2017
688	4451	2009
689	4455	2001
690	4459	1994
691	4461	1985
692	4464	1977
693	4467	1969
694	4470	1962
695	4473	1953
696	4476	1945
697	4479	1937
698	4482	1930
699	4484	1922
700	4487	1914
701	4490	1906
702	4493	1898
703	4496	1890
704	4500	1883
705	4503	1875
706	4506	1867
707	4508	1859
708	4511	1851
709	4514	1844
710	4517	1836
711	4520	1828
712	4522	1820
713	4525	1812
714	4528	1804
715	4531	1797
716	4534	1789
717	4536	1781
718	4539	1774
719	4542	1766
720	4545	1758
721	4548	1751
722	4551	1743
723	4554	1736
724	4557	1728
725	4560	1721
726	4563	1713
727	4567	1706
728	4570	1698
729	4573	1691
730	4576	1683
731	4579	1676
732	4582	1669
733	4585	1661
734	4587	1654
735	4591	1646
736	4594	1639
737	4598	1632
738	4601	1625
739	4604	1617
740	4607	1610
741	4610	1602
742	4613	1595
743	4615	1588
744	4618	1580
745	4621	1573
746	4624	1566
747	4627	1558
748	4630	1551
749	4633	1544
750	4636	1537
751	4639	1529
752	4642	1522
753	4645	1515
754	4648	1508
755	4651	1501
756	4658	1495
757	4663	1488
758	4667	1482
759	4670	1474
760	4674	1467
761	4676	1460
762	4679	1453
763	4683	1446
764	4687	1439
765	4690	1432
766	4694	1426
767	4697	1418
768	4700	1411
769	4703	1404
770	4706	1397
771	4709	1390
772	4712	1383
773	4715	1376
774	4721	1370
